C:\Users\dev6979205p4\Desktop\DSTソース(java)_20230209 と C:\pat-eosl\workspace_web\DST の比較
2023/03/27 8:55:41
名前,フォルダー,比較結果,左更新日時,右更新日時,拡張子
src,,フォルダーは異なっています,* 2023/02/09 10:45:47,  2023/01/06 10:54:27,
DST_BATCH,src,フォルダーは異なっています,  2023/02/09 10:45:46,* 2023/02/10 14:01:23,
ctl,src\DST_BATCH,フォルダーは異なっています,  2023/02/09 10:45:46,* 2023/02/28 17:16:38,
ADDRESS.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:30,* 2023/02/28 13:33:39,ctl
COMMON_GUIDANCE_MST.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:34,* 2023/02/28 13:33:39,ctl
DSE_D_PAYMENTINFO.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:12:32,* 2023/02/27 14:21:00,ctl
DSE_M_ACCOUNTINGDIVADDR.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:32,* 2023/02/28 13:33:39,ctl
DSE_M_AUTHORITY.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:12:32,* 2023/02/28 17:55:24,ctl
DSE_M_PASSWORDCTRL.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:14:06,* 2023/02/28 13:54:45,ctl
DSE_M_SECURITYMANAGE.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:12:56,* 2023/02/28 17:16:38,ctl
DSE_W_ASSOCIATEDCOMPANY.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:12:58,* 2023/02/28 13:54:45,ctl
DSE_W_COLLECTIONINFO1.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:14:08,* 2023/02/28 13:54:45,ctl
DSE_W_COLLECTIONINFO2.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:36,* 2023/02/28 13:54:45,ctl
DSE_W_COLLECTIONINFO3.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:10,* 2023/02/28 13:54:45,ctl
DSE_W_NTTCOLLECTAGENCY.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:14:02,* 2023/02/27 14:18:10,ctl
EXT_DET_REGIST_REASON_MST.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:04,* 2023/02/28 16:36:20,ctl
EXT_DET_RELEASE_REASON_MST.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:16,* 2023/02/28 16:36:20,ctl
REQUEST_POST_MST.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:14:04,* 2023/02/28 13:33:39,ctl
SERVICE_ITEM_TBL.ctl,src\DST_BATCH\ctl,テキスト ファイルは異なります,  2022/12/02 14:13:48,* 2023/02/28 13:33:39,ctl
env,src\DST_BATCH,フォルダーは異なっています,  2023/02/09 10:45:46,* 2023/03/14 11:16:14,
dseCOMEnv.rc,src\DST_BATCH\env,テキスト ファイルは異なります,  2022/12/02 14:13:56,* 2023/03/14 11:16:14,rc
dseCOMEnv.rc.ct,src\DST_BATCH\env,テキスト ファイルは異なります,  2022/12/02 14:12:40,* 2023/03/14 11:16:14,ct
dseCOMEnv.rc.pd,src\DST_BATCH\env,テキスト ファイルは異なります,  2022/12/02 14:12:34,* 2023/03/14 11:16:14,pd
dseCOMEnv.rc.sb_d1,src\DST_BATCH\env,テキスト ファイルは異なります,  2022/12/02 14:13:08,* 2023/03/14 11:16:14,sb_d1
dseCOMEnv.rc.ut,src\DST_BATCH\env,テキスト ファイルは異なります,  2022/12/02 14:12:34,* 2023/03/14 11:16:14,ut
sh,src\DST_BATCH,フォルダーは異なっています,  2023/02/09 10:45:46,* 2023/03/27 8:49:02,
com_getEsbInfo.sh,src\DST_BATCH\sh,テキスト ファイルは異なります,  2022/12/02 14:12:40,* 2023/03/14 11:16:14,sh
dseCOMAushMov.sh,src\DST_BATCH\sh,テキスト ファイルは異なります,  2022/12/02 14:12:38,* 2023/03/27 8:49:02,sh
dseCOMBatchDate.sh,src\DST_BATCH\sh,テキスト ファイルは異なります,  2022/12/02 14:13:38,* 2023/03/27 8:49:02,sh
dseCOMFileCleanup.csh,src\DST_BATCH\sh,テキスト ファイルは異なります,  2022/12/02 14:12:56,* 2023/03/27 8:49:02,csh
